,Unnamed: 0,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,type,views,media,artist
39,105,2020-01-23 09:30:40,_Taaooma,,818,1736,17607,El año número cuatro pic.twitter.com/zuI1ljdHVs,,,,1.2202776598229E+018,https://twitter.com/_Taaooma/status/1220277659822895104,picture,0,pic.twitter.com/z,Taaooma
40,110,2020-01-22 09:32:30,_Taaooma,,3053,12865,33624,At this level... Daddy needs to stop !!pic.twitter.com/aVtppzR7Vy,,,,1.21991573448835E+018,https://twitter.com/_Taaooma/status/1219915734488354816,video,379700,pic.twitter.com/a,Taaooma
41,125,2020-01-19 19:31:14,_Taaooma,,199,306,2694,Forget ittt !!! I am a behhhdddd dancer Song : @denikeofficial - Away pic.twitter.com/Euuk9MzEe2,,@denikeofficial,,1.21897924668685E+018,https://twitter.com/_Taaooma/status/1218979246686851081,video,59900,pic.twitter.com/E,Taaooma
42,144,2020-01-16 15:38:09,_Taaooma,,66,179,2391,On Set with @theRealAbula PS: they didn’t pay me on this set because of the last picture There is God pic.twitter.com/P8A4jFWwJ0,,@theRealAbula,,1.21783342475875E+018,https://twitter.com/_Taaooma/status/1217833424758747138,picture,0,pic.twitter.com/P,Taaooma
43,147,2020-01-15 21:57:36,_Taaooma,Louismadu1,2,3,56,pic.twitter.com/i62B4jOPtU,,,,1.21756652756788E+018,https://twitter.com/_Taaooma/status/1217566527567880195,picture,0,pic.twitter.com/i,Taaooma
44,148,2020-01-15 21:49:12,_Taaooma,made4crown,0,0,6,I tired laughingpic.twitter.com/qNgwwiHaiT,,,,1.2175644131354E+018,https://twitter.com/_Taaooma/status/1217564413135400963,picture,0,pic.twitter.com/q,Taaooma
45,153,2020-01-15 17:26:52,_Taaooma,,31,100,1082,Bomboclat !!pic.twitter.com/dH7FxyibDs,,,,1.21749839794876E+018,https://twitter.com/_Taaooma/status/1217498397948760065,video,36300,pic.twitter.com/d,Taaooma
46,158,2020-01-15 05:17:37,_Taaooma,,5,8,118,"Oops I forgot to update ... my bank reversed my money . Me too I was saying it that, I trust my bank, hahannn .. haaa .. ah mean https://twitter.com/_Taaooma/status/1216484647338680326 …pic.twitter.com/pTVudg8PKK",,,,1.21731487404234E+018,https://twitter.com/_Taaooma/status/1217314874042343425,picture,0,pic.twitter.com/p,Taaooma
47,162,2020-01-14 14:52:36,_Taaooma,volqx,15,10,391,Thank you pic.twitter.com/NqXEfScMVG,,,,1.21709718575553E+018,https://twitter.com/_Taaooma/status/1217097185755529216,picture,0,pic.twitter.com/N,Taaooma
48,164,2020-01-14 09:47:04,_Taaooma,,1786,8789,22363,"Any small thing, “Do you know who I am ? “ That’s a Nigerian man slang.pic.twitter.com/hCWpM9xTMu",,,,1.21702029487287E+018,https://twitter.com/_Taaooma/status/1217020294872870912,video,197600,pic.twitter.com/h,Taaooma
49,171,2020-01-13 09:32:01,_Taaooma,Lagwhyce,1,1,32,pic.twitter.com/Q2hR7Z3q5d,,,,1.2166541196347E+018,https://twitter.com/_Taaooma/status/1216654119634702336,picture,0,pic.twitter.com/Q,Taaooma
50,173,2020-01-12 22:18:35,_Taaooma,,16,16,267,Heeee Fada Loordddd what is rejuvenating here ..... heeee I recharged they debit me but I didn’t see credit ... God what is gbajuenating here ??pic.twitter.com/RJk9ezIBlg,,,,1.21648464733868E+018,https://twitter.com/_Taaooma/status/1216484647338680326,picture,0,pic.twitter.com/R,Taaooma
51,175,2020-01-12 11:33:34,_Taaooma,,39,110,2461,pic.twitter.com/apKfdO9Ng7,,,,1.21632232056387E+018,https://twitter.com/_Taaooma/status/1216322320563871745,picture,0,pic.twitter.com/a,Taaooma
52,190,2020-01-11 09:43:58,_Taaooma,ODOGUFIRSTSON,0,0,7,What’s wrong with you ?pic.twitter.com/Td2pUnXuSE,,,,1.21593235350952E+018,https://twitter.com/_Taaooma/status/1215932353509515265,picture,0,pic.twitter.com/T,Taaooma
53,199,2020-01-10 21:47:21,_Taaooma,,34,41,523,"Can you imagine, I’m watching money heist and I’m fearing for people that are probably partying in their houses right now I’m even helping them to strategize, shaking and shouting at every point.pic.twitter.com/LV8fXwR7Yn",,,,1.21575201220742E+018,https://twitter.com/_Taaooma/status/1215752012207415296,picture,0,pic.twitter.com/L,Taaooma
54,205,2020-01-10 09:37:42,_Taaooma,FaithJa31008849,8,5,189,See fine police and soldier whether I can be your friend please ?pic.twitter.com/UU2Tfyp8CZ,,,,1.21556838840109E+018,https://twitter.com/_Taaooma/status/1215568388401090561,picture,0,pic.twitter.com/U,Taaooma
55,208,2020-01-10 07:19:10,_Taaooma,kodafprince,1,0,10,Draft ?pic.twitter.com/Mj90sZCWmS,,,,1.21553352329946E+018,https://twitter.com/_Taaooma/status/1215533523299459072,picture,0,pic.twitter.com/M,Taaooma
56,210,2020-01-10 07:16:02,_Taaooma,Sodrak22,4,2,23,World war ginni?pic.twitter.com/MqC0XVsTez,,,,1.21553273613757E+018,https://twitter.com/_Taaooma/status/1215532736137568256,picture,0,pic.twitter.com/M,Taaooma
57,211,2020-01-09 21:31:12,_Taaooma,,9,14,133,I’m not a Corp member https://twitter.com/Kinglamarr___/status/1215378536548261888 …pic.twitter.com/7uJgvUJHyD,,,,1.2153855578467E+018,https://twitter.com/_Taaooma/status/1215385557846700032,picture,0,pic.twitter.com/7,Taaooma
58,212,2020-01-09 21:21:02,_Taaooma,,4,10,82,O pe ginni? https://twitter.com/ayo_vert/status/1215382762317910024 …pic.twitter.com/FEtIdSTOEp,,,,1.21538300137642E+018,https://twitter.com/_Taaooma/status/1215383001376415749,picture,0,pic.twitter.com/F,Taaooma
59,217,2020-01-09 20:29:53,_Taaooma,h35pano1,1,1,28,pic.twitter.com/SuZ9jsLnEv,,,,1.21537012935522E+018,https://twitter.com/_Taaooma/status/1215370129355218944,picture,0,pic.twitter.com/S,Taaooma
60,219,2020-01-09 19:52:09,_Taaooma,DonGeor25093789,2,2,50,pic.twitter.com/97WOSmaHPT,,,,1.21536063219695E+018,https://twitter.com/_Taaooma/status/1215360632196947975,picture,0,pic.twitter.com/9,Taaooma
61,220,2020-01-09 19:51:38,_Taaooma,bobbykrystal,0,1,11,pic.twitter.com/T1g70lFUR6,,,,1.21536050331855E+018,https://twitter.com/_Taaooma/status/1215360503318548480,picture,0,pic.twitter.com/T,Taaooma
