,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,type,views,media,artist
191,2020-02-09 06:44:56,twyse_116,,6,15,59,"ISLAND, Are we ready ? ⁣⁣⁣⁣⁣ Can’t wait to see you all today !!⁣⁣ Date: Sunday 9th February 2020. ⁣⁣⁣⁣⁣ ⁣⁣⁣Location: @czarslounge | CZARSLOUNGE & Restaurant, 22 Kusenla Rd, Ikate Lekki.⁣⁣⁣⁣ Gate Fee: FREE⁣ Free Cocktail for the first 20 ladies ⁣pic.twitter.com/lk0xDUHzLY",,@czarslounge,,1.22639654504362E+018,https://twitter.com/twyse_116/status/1226396545043615745,picture,0,pic.twitter.com/l,Twyse
209,2020-02-05 17:47:22,twyse_116,,3,2,14,https://twitter.com/TheMorayo/status/1225055971569029121 …pic.twitter.com/q1kWjeXpmi,,,,1.22511369913387E+018,https://twitter.com/twyse_116/status/1225113699133874177,picture,0,pic.twitter.com/q,Twyse
210,2020-02-05 17:42:17,twyse_116,,8,21,54,"ISLAND, Are we ready ? ⁣⁣ Date: Sunday 9th February 2020. ⁣⁣ ⁣⁣ Location: @czarslounge | CZARSLOUNGE & Restaurant, 22 Kusenla Rd, Ikate Lekki.⁣ ⁣⁣ See you all there! ⁣⁣ Don’t forget our Biro fight . ⁣⁣ #TwyseAndFamily #MeetAndGreetpic.twitter.com/8JxTGkpMXy",,@czarslounge,#TwyseAndFamily #MeetAndGreetpic,1.22511242003887E+018,https://twitter.com/twyse_116/status/1225112420038868993,picture,0,pic.twitter.com/8,Twyse
211,2020-02-05 17:41:26,twyse_116,,7,20,59,"MAINLAND, Are we ready ? ⁣ Date: Saturday 8th February 2020. ⁣ ⁣ Location: @Bheerhugzcafe | THE BHEERHUGS CAFÉ, Ikeja City Mall, Ikeja.⁣ ⁣ See you all there! ⁣ Don’t forget our Biro fight . ⁣ #TwyseAndFamily #MeetAndGreetpic.twitter.com/aQW4iVeTRc",,@Bheerhugzcafe,#TwyseAndFamily #MeetAndGreetpic,1.22511220794975E+018,https://twitter.com/twyse_116/status/1225112207949750272,picture,0,pic.twitter.com/a,Twyse
223,2020-02-04 21:02:44,twyse_116,,68,15,135,My frequently used emojis. What’s yours?pic.twitter.com/ZHWC6MvhCt,,,,1.22480047712631E+018,https://twitter.com/twyse_116/status/1224800477126307842,picture,0,pic.twitter.com/Z,Twyse
232,2020-02-04 17:58:38,twyse_116,,38,130,396,Horny Bastard. This voice note makes me laugh every time pic.twitter.com/j94lCTb61e,,,,1.2247541484004E+018,https://twitter.com/twyse_116/status/1224754148400402432,video,9200,pic.twitter.com/j,Twyse
237,2020-02-04 15:34:11,twyse_116,,10,32,129,"For those of you not on IG, we are having a biro fight at my Meet & Greet this weekend. And the winner will be taking home a little gift . some of your favourite people will be present as well. (Flyers will be out tomorrow with details)pic.twitter.com/05kjTZI7aI",,,,1.22471779635918E+018,https://twitter.com/twyse_116/status/1224717796359184384,picture,0,pic.twitter.com/0,Twyse
255,2020-01-21 13:59:52,twyse_116,,58,144,298,Continuation... the bars. Wait forrit. “You be like Wetin Ebola dey suffer from”. Gaddem !!pic.twitter.com/zytoMpVy05,,,,1.21962063000336E+018,https://twitter.com/twyse_116/status/1219620630003363841,video,6300,pic.twitter.com/z,Twyse
256,2020-01-21 13:58:50,twyse_116,,53,165,346,Incase you are not following Davido on IG . This one wants to sleep in Shekpe and bath in Shayo pic.twitter.com/AUNFcHBBEi,,,,1.21962037116449E+018,https://twitter.com/twyse_116/status/1219620371164487682,video,9900,pic.twitter.com/A,Twyse
259,2020-01-21 12:59:16,twyse_116,,195,404,806,This guy will kill all of you in this wazzab group . We are not a Jay-ess-ess Tiri. You suppose to be think. Ahan you come here tu comman learn an tu be a future by yoursef. E supppse to be share brain. lmaopic.twitter.com/4FKNVJBEdT,,,,1.21960538145605E+018,https://twitter.com/twyse_116/status/1219605381456048130,picture,0,pic.twitter.com/4,Twyse
270,2020-01-21 10:26:37,twyse_116,,6,11,35,Don’t you dare say MONEY HEIST and AMALA is overrated. They shekpe for you ? https://twitter.com/UgwunnaEjikem/status/1219278139513282560 …pic.twitter.com/1EwsiGBATy,,,,1.21956696535173E+018,https://twitter.com/twyse_116/status/1219566965351731201,video,1400,pic.twitter.com/1,Twyse
273,2020-01-20 22:18:56,twyse_116,,13,29,140,Goan kneel down and ask God about mepic.twitter.com/u2odR59i50,,,,1.21938383672914E+018,https://twitter.com/twyse_116/status/1219383836729135108,video,3100,pic.twitter.com/u,Twyse
